city,fetched_at,temperature_c,humidity,precipitation_mm,rain_mm,weather_code,wind_speed_kmh
La Rochelle,2026-09-25 17:01:00.771305,19.6,88,0.0,0.0,1,26.0
Sète,2026-09-25 17:01:00.771305,23.8,75,0.0,0.0,3,9.8
Perpignan,2026-09-25 17:01:00.771305,25.3,52,0.0,0.0,0,10.2
Paris,2026-09-25 17:01:00.771305,27.8,32,0.0,0.0,0,10.1
Rennes,2026-09-25 17:01:00.771305,22.1,62,0.0,0.0,0,20.5
Metz,2026-09-25 17:01:00.771305,20.5,39,0.0,0.0,0,0.8
Beaulieu-sur-Mer,2026-09-25 17:01:00.771305,23.6,65,0.0,0.0,3,7.9
Nîmes,2026-09-25 17:01:00.771305,26.2,43,0.0,0.0,0,12.6
Dijon,2026-09-25 17:01:00.771305,24.3,26,0.0,0.0,0,4.1
Nancy,2026-09-25 17:01:00.771305,23.1,20,0.0,0.0,0,3.1
Lyon,2026-09-25 17:01:00.771305,27.3,22,0.0,0.0,2,6.9
Lille,2026-09-25 17:01:00.771305,24.8,41,0.0,0.0,0,11.2
Orléans,2026-09-25 17:01:00.771305,17.4,79,0.0,0.0,3,25.2
Troyes,2026-09-25 17:01:00.771305,25.4,25,0.0,0.0,0,3.8
Menton,2026-09-25 17:01:00.771305,15.7,86,0.0,0.0,2,7.2
Carcassonne,2026-09-25 17:01:00.771305,32.0,18,0.0,0.0,0,14.0
Saint-Étienne,2026-09-25 17:01:00.771305,23.7,39,0.0,0.0,3,8.2
Saint-Raphaël,2026-09-25 17:01:00.771305,24.5,51,0.0,0.0,0,13.0
Mont Saint-Michel,2026-09-25 17:01:00.771305,18.5,82,0.0,0.0,0,31.3
Viviers,2026-09-25 17:01:00.771305,26.6,18,0.0,0.0,2,9.2
Collioure,2026-09-25 17:01:00.771305,26.2,46,0.0,0.0,0,13.5
Clermont-Ferrand,2026-09-25 17:01:00.771305,26.9,23,0.0,0.0,0,6.6
Ajaccio,2026-09-25 17:01:00.771305,22.3,62,0.0,0.0,1,4.7
Saint-Malo,2026-09-25 17:01:00.771305,17.9,78,0.0,0.0,0,20.4
Biarritz,2026-09-25 17:01:00.771305,23.9,30,0.0,0.0,0,8.3
Aix-en-Provence,2026-09-25 17:01:00.771305,23.7,65,0.0,0.0,0,12.5
Poitiers,2026-09-25 17:01:00.771305,28.2,39,0.0,0.0,0,18.3
Deauville,2026-09-25 17:01:00.771305,19.7,88,0.0,0.0,1,14.6
Reims,2026-09-25 17:01:00.771305,24.5,24,0.0,0.0,0,6.0
Montpellier,2026-09-25 17:01:00.771305,25.2,46,0.0,0.0,0,8.4
Versailles,2026-09-25 17:01:00.771305,24.7,52,0.0,0.0,0,17.6
Rocamadour,2026-09-25 17:01:00.771305,28.8,29,0.0,0.0,0,11.3
Cannes,2026-09-25 17:01:00.771305,22.5,68,0.0,0.0,3,6.6
Béziers,2026-09-25 17:01:00.771305,25.5,39,0.0,0.0,0,10.1
Salon-de-Provence,2026-09-25 17:01:00.771305,24.8,62,0.0,0.0,0,13.6
Marseille,2026-09-25 17:01:00.771305,25.3,65,0.0,0.0,3,12.6
Lourdes,2026-09-25 17:01:00.771305,33.8,22,0.0,0.0,0,11.4
Tours,2026-09-25 17:01:00.771305,30.7,24,0.0,0.0,0,7.2
Fréjus,2026-09-25 17:01:00.771305,23.9,62,0.0,0.0,3,9.4
Strasbourg,2026-09-25 17:01:00.771305,20.5,23,0.0,0.0,1,2.3
Toulouse,2026-09-25 17:01:00.771305,29.5,34,0.0,0.0,0,10.8
Mulhouse,2026-09-25 17:01:00.771305,20.9,32,0.0,0.0,0,3.9
Saint-Rémy-de-Provence,2026-09-25 17:01:00.771305,24.4,57,0.0,0.0,0,14.2
Étretat,2026-09-25 17:01:00.771305,19.4,89,0.0,0.0,0,10.9
Narbonne,2026-09-25 17:01:00.771305,25.5,47,0.0,0.0,0,10.3
Avignon,2026-09-25 17:01:00.771305,29.3,29,0.0,0.0,0,8.8
Blois,2026-09-25 17:01:00.771305,29.6,26,0.0,0.0,0,5.9
Besançon,2026-09-25 17:01:00.771305,21.3,43,0.0,0.0,1,3.4
Sarlat-la-Canéda,2026-09-25 17:01:00.771305,28.1,30,0.0,0.0,0,6.9
Arles,2026-09-25 17:01:00.771305,24.8,60,0.0,0.0,0,11.5
Èze,2026-09-25 17:01:00.771305,20.8,70,0.0,0.0,2,8.1
Honfleur,2026-09-25 17:01:00.771305,19.2,89,0.0,0.0,0,21.8
Amboise,2026-09-25 17:01:00.771305,29.6,28,0.0,0.0,0,6.3
Rouen,2026-09-25 17:01:00.771305,28.5,38,0.0,0.0,1,3.3
Nice,2026-09-25 17:01:00.771305,16.7,82,0.0,0.0,2,7.0
Le Havre,2026-09-25 17:01:00.771305,19.2,86,0.0,0.0,0,13.0
Angers,2026-09-25 17:01:00.771305,26.8,45,0.0,0.0,0,18.7
Antibes,2026-09-25 17:01:00.771305,24.3,59,0.0,0.0,3,8.6
Grenoble,2026-09-25 17:01:00.771305,26.0,27,0.0,0.0,0,12.9
Saint-Tropez,2026-09-25 17:01:00.771305,23.8,67,0.0,0.0,3,16.8
Villefranche-sur-Mer,2026-09-25 17:01:00.771305,23.8,65,0.0,0.0,3,7.9
Bordeaux,2026-09-25 17:01:00.771305,23.2,66,0.0,0.0,2,13.8
Annecy,2026-09-25 17:01:00.771305,21.7,43,0.0,0.0,1,6.5
Colmar,2026-09-25 17:01:00.771305,21.1,30,0.0,0.0,1,3.1
Épernay,2026-09-25 17:01:00.771305,21.4,38,0.0,0.0,0,4.4
Grasse,2026-09-25 17:01:00.771305,22.0,67,0.0,0.0,3,4.8
Bastia,2026-09-25 17:01:00.771305,22.8,50,0.0,0.0,0,5.8
Toulon,2026-09-25 17:01:00.771305,24.7,61,0.0,0.0,3,11.4
Bayonne,2026-09-25 17:01:00.771305,20.1,77,0.0,0.0,1,14.5
Nantes,2026-09-25 17:01:00.771305,20.9,71,0.0,0.0,0,14.7
La Ciotat,2026-09-25 17:01:00.771305,23.3,70,0.0,0.0,0,11.3
