city,month,avg_temp_max,avg_temp_min,avg_precip
Aix-en-Provence,1,11.1,2.1,1.9
Aix-en-Provence,2,13.5,4.0,3.1
Aix-en-Provence,3,15.0,5.1,4.4
Aix-en-Provence,4,19.2,7.5,1.5
Aix-en-Provence,5,22.0,10.9,2.5
Aix-en-Provence,6,29.1,16.2,1.0
Aix-en-Provence,7,31.0,18.3,0.5
Aix-en-Provence,8,31.1,17.8,1.2
Aix-en-Provence,9,24.7,13.6,3.1
Aix-en-Provence,10,21.1,11.3,2.3
Aix-en-Provence,11,14.6,5.3,2.3
Aix-en-Provence,12,11.9,2.4,1.7
Ajaccio,1,14.0,6.3,5.2
Ajaccio,2,15.0,6.8,5.1
Ajaccio,3,16.4,7.2,4.8
Ajaccio,4,19.6,9.5,2.3
Ajaccio,5,21.9,12.3,4.1
Ajaccio,6,28.7,17.8,0.4
Ajaccio,7,31.1,20.1,0.3
Ajaccio,8,30.8,19.7,2.1
Ajaccio,9,26.4,16.0,2.6
Ajaccio,10,23.1,13.7,6.0
Ajaccio,11,17.8,9.2,3.7
Ajaccio,12,14.9,6.0,2.6
Amboise,1,8.3,2.0,2.7
Amboise,2,11.2,4.9,3.8
Amboise,3,13.7,4.8,2.1
Amboise,4,17.6,7.7,1.5
Amboise,5,20.0,10.9,3.0
Amboise,6,25.7,15.1,1.5
Amboise,7,25.3,15.5,2.0
Amboise,8,25.6,15.5,2.0
Amboise,9,21.8,13.0,3.1
Amboise,10,18.0,10.2,3.6
Amboise,11,12.4,6.4,2.8
Amboise,12,9.4,4.4,1.6
Angers,1,8.7,2.6,3.3
Angers,2,11.5,5.7,3.6
Angers,3,13.8,5.4,1.8
Angers,4,17.8,8.3,1.4
Angers,5,20.6,11.5,2.7
Angers,6,25.7,15.2,1.3
Angers,7,25.0,15.4,1.9
Angers,8,25.8,15.8,1.5
Angers,9,22.0,13.3,2.0
Angers,10,18.3,10.6,3.2
Angers,11,13.0,7.2,2.7
Angers,12,10.0,4.9,1.6
Annecy,1,7.5,0.4,5.3
Annecy,2,10.5,2.7,3.7
Annecy,3,13.0,3.2,3.4
Annecy,4,17.0,6.1,3.3
Annecy,5,19.1,9.8,5.7
Annecy,6,25.9,15.6,4.0
Annecy,7,26.3,16.4,4.6
Annecy,8,27.7,16.8,2.4
Annecy,9,21.2,12.9,5.5
Annecy,10,17.6,9.7,6.5
Annecy,11,10.7,4.0,6.0
Annecy,12,8.1,1.7,4.0
Antibes,1,13.3,5.9,3.7
Antibes,2,14.8,7.4,4.5
Antibes,3,16.1,8.2,6.0
Antibes,4,19.3,11.2,2.6
Antibes,5,22.4,14.2,2.2
Antibes,6,28.3,19.6,1.2
Antibes,7,30.7,21.6,0.3
Antibes,8,31.0,22.0,1.3
Antibes,9,26.1,17.3,2.6
