osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
461983540,node,,restaurant,Ajaccio,,,,42.2504648,8.8163683
477080038,node,Hôtel U Paradisu,hotel,Ajaccio,,,,41.8888551,8.7991336
486703704,node,U Caspiu,restaurant,Ajaccio,,,,42.3024133,8.6614188
807768409,node,Hôtel de Porticcio,hotel,Ajaccio,,,,41.8884386,8.8019877
881168048,node,20130,restaurant,Ajaccio,20130,20130,,42.1360002,8.596836
882361613,node,Le California,restaurant,Ajaccio,,,,42.1147293,8.6978279
882371438,node,Cyrnos,hotel,Ajaccio,,,,42.1152529,8.6941884
914983679,node,A Cantali restaurant bio-végétarien,restaurant,Ajaccio,,,,41.925167,8.737333
1100748752,node,Gina,restaurant,Ajaccio,,,https://gina-restaurant.business.site,42.2662633,8.6944218
1265784560,node,Les flots bleus,hotel,Ajaccio,,,,42.0602259,8.7438929
1265784570,node,Les flots bleus,restaurant,Ajaccio,,,,42.0601194,8.7439667
1282830173,node,Hôtel du tourisme,hotel,Ajaccio,,,,41.9107915,9.129863
1324831167,node,,restaurant,Ajaccio,,,,42.0813167,8.7490197
1329785003,node,Hôtel le Florida,hotel,Ajaccio,,,,41.9124219,9.1298828
1432534869,node,L'Igloo,restaurant,Ajaccio,,,,42.0636943,8.7401979
1438522393,node,La Belle Époque,restaurant,Ajaccio,22 Rue Cardinal Fesch,,,41.9199944,8.7379901
1438536150,node,I Sanguinari,restaurant,Ajaccio,"8348 Route des Sanguinaires, 20000, Ajaccio",20000,,41.8973628,8.6112633
1802516808,node,Hôtel Kallisté,hotel,Ajaccio,,,,41.9242088,8.737685
1802540407,node,Pension Morelli,hotel,Ajaccio,,,,41.9200851,8.7359647
1804745816,node,Hôtel Fesch,hotel,Ajaccio,7 Rue Cardinal Fesch,,https://www.hotel-fesch.com/,41.9200585,8.737642
1888132174,node,Bar a vin 1755,restaurant,Ajaccio,,,,41.9175869,8.7387684
1888144047,node,,restaurant,Ajaccio,,,,41.9180394,8.7395556
