osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
461684800,node,La Salamandre,restaurant,Amboise,,,,47.415796,0.9829951
461694039,node,Pagode de Chanteloup,attraction,Amboise,,,https://www.pagode-chanteloup.com/,47.391112,0.9701246
670138839,node,,viewpoint,Amboise,,,,47.3910709,0.9701803
781657413,node,Hôtel le Français,hotel,Amboise,6 Rue Voltaire,,,47.4118492,0.9814674
781662210,node,Le Manoir Saint-Thomas,hotel,Amboise,1,,https://www.manoir-saint-thomas.com/,47.4104356,0.9868404
781795755,node,Le Lion d'Or,restaurant,Amboise,17 Quai Charles Guinot,,,47.4137127,0.984846
961288059,node,,viewpoint,Amboise,,,,47.4144037,0.9697441
1089279324,node,,hotel,Amboise,,,,47.5255719,1.0441882
1419371876,node,Le Petit Lussault,hotel,Amboise,,,,47.4090561,0.9462769
1517051946,node,Musée de l'Hôtel de Ville,museum,Amboise,"Rue François 1er, 37400, Amboise",37400,https://www.ville-amboise.fr/97/musee-hotel-morin.htm,47.4131973,0.9839918
1794304583,node,,memorial,Amboise,,,,47.4868634,0.9482851
2069623300,node,Château du Perreux,hotel,Amboise,,,,47.4368311,0.9679579
2222493767,node,Atelier Galerie Martine Scouarnec,attraction,Amboise,,,,47.4409542,0.986392
2235383796,node,Domaine Cocteaux,attraction,Amboise,,,,47.505354,1.0659744
2391114066,node,Ibis Budget Amboise,hotel,Amboise,,,,47.3977692,0.9887669
2391114067,node,Novotel Amboise,hotel,Amboise,,,,47.3978051,0.9897003
2530436676,node,,memorial,Amboise,,,,47.4440869,0.9899854
2800021477,node,Prieuré de Montoussan,ruins,Amboise,,,,47.4028598,1.0717163
3026812909,node,,viewpoint,Amboise,,,,47.4127773,0.9890433
3035683135,node,L'Ambacia,restaurant,Amboise,,,,47.412739,0.9846782
3035683137,node,,restaurant,Amboise,,,,47.412723,0.9848709
3035683233,node,Via Roma,restaurant,Amboise,,,,47.4127577,0.9845487
3035683234,node,Le Vinci,restaurant,Amboise,20 Place Michel Debré,,,47.4127142,0.9850161
3035691343,node,L'Épicerie,restaurant,Amboise,,,,47.412604,0.9861034
3035692441,node,Chez Bruno,restaurant,Amboise,,,,47.4126484,0.9857831
3035719833,node,Brasserie Hippeau,restaurant,Amboise,3 Rue François 1er,,https://www.brasseriehippeau.fr/,47.4129999,0.9840216
3035719834,node,Le Comptoir de Mamie Bigoude,restaurant,Amboise,"2, 37400",37400,https://comptoirmamiebigoude.com,47.4128816,0.9831802
3035719836,node,Chez Hippeau,restaurant,Amboise,,,,47.4130019,0.9839294
3035719838,node,La Florentine,restaurant,Amboise,,,,47.4125814,0.9862923
3035719851,node,Premier Cru,restaurant,Amboise,,,,47.4128005,0.9841299
3035906993,node,Le Rustic,restaurant,Amboise,,,,47.398307,0.9203846
3059225064,node,Les Pieds dans le Plat,restaurant,Amboise,37530,37530,,47.4474877,1.0678184
3060728606,node,Les Remparts,restaurant,Amboise,,,,47.4100744,0.9746891
3072167555,node,La Cave aux Fouées,restaurant,Amboise,,,,47.4207911,1.0047209
3077065079,node,La Bonne Etape,restaurant,Amboise,,,,47.4243475,1.0094469
3077067358,node,La Bonne Étape,hotel,Amboise,,,,47.4242961,1.0095323
3077273991,node,Ibis Pizza and Pasta,restaurant,Amboise,,,,47.4141583,1.0185821
3122350435,node,Leonardo & Vinci Cottages,hotel,Amboise,"9 Avenue Léonard de Vinci, 37400, Amboise",37400,,47.4096993,0.9876678
3441387553,node,L'Echanson,restaurant,Amboise,5 Rue d'Orange,,,47.4120508,0.9840164
3441408319,node,Bellevue,hotel,Amboise,"12 Quai Charles Guinot, 37400, Amboise",37400,https://hotel-bellevue-amboise.com/,47.4134823,0.9843541
3441408320,node,Lounge B,restaurant,Amboise,"12 Quai Charles Guinot, 37400, Amboise",37400,,47.4135086,0.9844664
3441500679,node,La Terrasse,restaurant,Amboise,7 Rue Victor Hugo,,,47.4124916,0.9875047
4085727446,node,Manoir d'Anzan,castle,Amboise,,,,47.4252934,0.9104398
4679413889,node,Les Platanes,restaurant,Amboise,,,,47.4206507,0.9748707
4685783089,node,Patisserie Boulay,restaurant,Amboise,,,,47.412641,0.9841231
4692427178,node,Le Français,restaurant,Amboise,1,,,47.4120093,0.9812566
4773356823,node,Le Parvis,restaurant,Amboise,Rue Mirabeau,,,47.412389,0.9862716
4773389021,node,L'Alliance,restaurant,Amboise,14 Rue Joyeuse,,,47.4107962,0.9851454
4825666321,node,Hôtel Restaurant La Brèche,hotel,Amboise,,,,47.4203622,0.9819222
4907303493,node,Manoir de Villefrault,castle,Amboise,,,,47.4066467,0.938175
4909507231,node,Monument aux Morts,memorial,Amboise,,,,47.4678065,0.9942475
5108968318,node,Le Choiseul,hotel,Amboise,,,,47.4150517,0.9884691
5108968319,node,Le Manoir Les Minimes,hotel,Amboise,"34 Quai Charles Guinot, 37400, Amboise",37400,https://manoirlesminimes.com/,47.4150151,0.9878048
5313879920,node,Château de Pintray,castle,Amboise,,,,47.3820091,0.9141356
5761856111,node,Léonard de Vinci,artwork,Amboise,,,,47.4159311,0.9856099
5825579155,node,La Fourchette,restaurant,Amboise,,,,47.4121388,0.9824209
5871986556,node,,viewpoint,Amboise,,,,47.4118737,0.9908084
5871986557,node,,viewpoint,Amboise,,,,47.4133081,0.9850569
5871986558,node,,viewpoint,Amboise,,,,47.4138732,0.9861507
5871986559,node,,viewpoint,Amboise,,,,47.414214,0.9876259
5871986560,node,,viewpoint,Amboise,,,,47.4127461,0.9882479
5871986561,node,,viewpoint,Amboise,,,,47.4126695,0.9869142
5878989686,node,,viewpoint,Amboise,,,,47.417801,0.9819779
7050019089,node,L’Auberge du Prieuré,restaurant,Amboise,,,,47.4078434,0.9904372
7093332623,node,Le pigeonnier,attraction,Amboise,,,,47.4082322,0.9907293
7137062385,node,,viewpoint,Amboise,,,,47.4153354,0.9839068
7137535585,node,L'Aubiniere,restaurant,Amboise,29 Rue Jules Gautier,,https://aubiniere.com/,47.4704131,0.9936662
7236956985,node,,viewpoint,Amboise,,,,47.4127549,0.9876581
7237247985,node,,memorial,Amboise,,,,47.4137319,0.9844359
7747353711,node,Baalbeck,restaurant,Amboise,"42 Rue Nationale, 37400, Amboise",37400,,47.4118365,0.9827426
8378207209,node,La Pause du Temps,restaurant,Amboise,"80 Rue Nationale, 37400, Amboise",37400,,47.4112004,0.9810281
8481121295,node,Leonardo da Vinci,artwork,Amboise,,,,47.4133959,0.9868969
8518213182,node,,artwork,Amboise,,,,47.4102275,0.9864132
8643361917,node,,memorial,Amboise,,,,47.5125931,0.9111108
8841050235,node,Le Garage Centre d'Art,gallery,Amboise,,,https://www.ville-amboise.fr/legarage,47.4118184,0.986831
8870390411,node,La terrasse renaissance,restaurant,Amboise,,,,47.4105942,0.9915334
8870390413,node,La Table du Moulin,restaurant,Amboise,,,,47.4094007,0.9915938
8922491417,node,L'Écluse,restaurant,Amboise,,,https://www.ecluse-amboise.fr/,47.4116943,0.9875424
8922493319,node,Le Patio,restaurant,Amboise,,,https://m.facebook.com/lepatioamboise,47.4124513,0.9838336
8922499217,node,L'Îlot,restaurant,Amboise,,,,47.4103672,0.9838988
8922508717,node,Les Arpents,restaurant,Amboise,,,https://restaurant-lesarpents.fr,47.4121083,0.9839862
9349676827,node,,memorial,Amboise,,,,47.4135394,1.0240285
9723700508,node,La Réserve,restaurant,Amboise,,,,47.4126813,0.985347
10152786342,node,1 Chateaudun,artwork,Amboise,,,,47.3921429,1.0038892
10152786412,node,2 Blois,artwork,Amboise,,,,47.3919958,1.0039599
10152786413,node,3 Talcy,artwork,Amboise,,,,47.3920244,1.0041255
10152786414,node,4 Chamerolles,artwork,Amboise,,,,47.3919083,1.0042941
10152786415,node,6 Sully-sur-Loire,artwork,Amboise,,,,47.391525,1.0043723
10152786416,node,7 Chambord,artwork,Amboise,,,,47.3914947,1.0041406
10152789617,node,5 La Bussiére,artwork,Amboise,,,,47.3918257,1.0043916
10152789618,node,8 Beauregard,artwork,Amboise,,,,47.3916516,1.004042
10152789619,node,9 Cheverny,artwork,Amboise,,,,47.3917472,1.0038835
10152789620,node,10 Chaumont,artwork,Amboise,,,,47.3919275,1.0038062
10152789621,node,11 Chanteloup,artwork,Amboise,,,,47.3918009,1.0034566
10152789622,node,12 Jaillanges,artwork,Amboise,,,,47.3917534,1.0036497
10152789633,node,14 Troussay,artwork,Amboise,,,,47.3913261,1.0037025
10152789634,node,15 Valençay,artwork,Amboise,,,,47.3914778,1.0033608
10152789635,node,13 Sarzay,artwork,Amboise,,,,47.3915181,1.0037076
10152789636,node,17 Chenonceau,artwork,Amboise,,,,47.3916695,1.0032548
10152789637,node,16 Montrésor,artwork,Amboise,,,,47.3914862,1.0031509
10152789656,node,21 Amboise,artwork,Amboise,,,,47.3920563,1.0033337
10152789657,node,22 Villandry,artwork,Amboise,,,,47.3920761,1.0028059
10152789658,node,25 Montpoupon,artwork,Amboise,,,,47.3918603,1.0029927
