osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
583258230,node,Ma plus belle histoire,restaurant,Clermont-Ferrand,,,,45.7728065,3.2385492
664656102,node,L'Estredelle,hotel,Clermont-Ferrand,,,,45.797509,3.2572522
664656132,node,Auberge du Pont,restaurant,Clermont-Ferrand,,,https://auberge-du-pont.com/,45.797417,3.2582625
806581945,node,Délices wok,restaurant,Clermont-Ferrand,,,,45.7796274,3.1403709
813524162,node,Le Mozart,restaurant,Clermont-Ferrand,,,,45.7808158,3.0756867
813668311,node,L'Initial,restaurant,Clermont-Ferrand,,,,45.7808466,3.0822215
815129327,node,Holiday Inn,hotel,Clermont-Ferrand,,,,45.7703973,3.0864998
815133265,node,La Fée Maison,restaurant,Clermont-Ferrand,,,,45.7776921,3.0836962
1119207215,node,Le Vésuve,restaurant,Clermont-Ferrand,,,,45.7852755,3.0857498
1119207221,node,Le Bouchon de Jaude,restaurant,Clermont-Ferrand,,,,45.7777523,3.0811041
1119207224,node,Le Puy de la Lune,restaurant,Clermont-Ferrand,,,,45.7801057,3.081458
1119207228,node,Le 41,restaurant,Clermont-Ferrand,,,,45.7740488,3.0769787
1119207255,node,Mouffu,restaurant,Clermont-Ferrand,,,,45.778519,3.0792493
1119207257,node,Namaste,restaurant,Clermont-Ferrand,,,,45.7802297,3.0870719
1119207265,node,La Tente Berbère,restaurant,Clermont-Ferrand,,,,45.7817997,3.0949571
1119207288,node,Le Boeuf Café,restaurant,Clermont-Ferrand,,,,45.7778472,3.0838312
1119207292,node,La Régalade,restaurant,Clermont-Ferrand,,,,45.7777599,3.0826718
1257580864,node,Lou Tassou,hotel,Clermont-Ferrand,"14 Place des Ramacles, 63170, Aubière",63170,,45.7497371,3.1114208
1257580865,node,Délice Kébab,restaurant,Clermont-Ferrand,13 Place de la Libération,,,45.7508048,3.1113877
1257580883,node,Les Ramacles,restaurant,Clermont-Ferrand,,,,45.7498865,3.1120906
1270846046,node,Le Choucas,restaurant,Clermont-Ferrand,,,,45.7825944,3.093321
1400276622,node,Ibis Budget,hotel,Clermont-Ferrand,"3 Boulevard Ambroise Brugière, 63100, Clermont-Ferrand",63100,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=5651&merchantid=seo-maps-FR-5651&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNjA0NzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,45.7917839,3.1186781
1400276624,node,Ibis Montferrand,hotel,Clermont-Ferrand,"3 Boulevard Ambroise Brugière, 63100, Clermont-Ferrand",63100,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0929&merchantid=seo-maps-FR-0929&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNTk1NDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,45.791739,3.118426
1453606199,node,L'Odevie,restaurant,Clermont-Ferrand,,,,45.7735784,3.0812953
1587067572,node,À la bonne heure,restaurant,Clermont-Ferrand,,,,45.7710323,3.081031
1686317176,node,La Cigale,restaurant,Clermont-Ferrand,,,,45.7758003,3.0664192
1701011062,node,Piazza Italia,restaurant,Clermont-Ferrand,,,,45.7748083,3.0842753
1704102478,node,La Calèche,hotel,Clermont-Ferrand,,,,45.7333083,3.0640865
1785497750,node,Chez Lisette,restaurant,Clermont-Ferrand,,,,45.8292614,3.0773348
1785654452,node,Le Vigosche,restaurant,Clermont-Ferrand,,,,45.8501465,3.0864051
1786504960,node,Café Ballainvilliers,restaurant,Clermont-Ferrand,,,,45.7754417,3.0866066
1786516073,node,Konnichiwa,restaurant,Clermont-Ferrand,,,,45.7755954,3.0863356
1786532933,node,Hôtel le Lion,hotel,Clermont-Ferrand,,,,45.7768387,3.0814391
1786573396,node,,restaurant,Clermont-Ferrand,,,,45.7750076,3.0827655
1787299844,node,Brasserie Berthelot,restaurant,Clermont-Ferrand,,,,45.7801517,3.0724678
1788234884,node,Brasserie Madeleine,restaurant,Clermont-Ferrand,"3 Place de la Victoire, 63000, Clermont-Ferrand",63000,https://www.brasseriemadeleine-clermont.fr/,45.7781307,3.08617
1788389053,node,La Grange,restaurant,Clermont-Ferrand,,,,45.8315198,3.1057131
1832055180,node,Domino's,restaurant,Clermont-Ferrand,,,,45.735588,3.1776138
1912697804,node,La table de Fred,restaurant,Clermont-Ferrand,,,,45.7927789,3.1132675
1932121673,node,Le Den's,restaurant,Clermont-Ferrand,,,,45.7806945,3.0772926
1933808653,node,Tarterie de Venise,restaurant,Clermont-Ferrand,9 Rue de l'Hôtel de Ville,,https://tarteriedevenise.com/beaumont.php,45.7534128,3.0864809
1956555138,node,Le Trésor,restaurant,Clermont-Ferrand,,,,45.7658406,3.0821184
1979290807,node,Les Papilles,restaurant,Clermont-Ferrand,,,,45.7776813,3.0843325
2012785752,node,Avenue,restaurant,Clermont-Ferrand,,,,45.7774809,3.0864272
2012970760,node,Les Commerçants,hotel,Clermont-Ferrand,,,,45.7797516,3.1009005
2086025567,node,L'Ostal,restaurant,Clermont-Ferrand,,,https://www.lostal-restaurant.fr/,45.7810079,3.0879869
2110930360,node,Inckliné,restaurant,Clermont-Ferrand,,,,45.7761291,3.0850763
2110936872,node,Bougnat Burger,restaurant,Clermont-Ferrand,10 Boulevard Léon Malfreyt,,https://www.bougnatburger.fr/,45.7739156,3.085635
2249213892,node,Radisson,hotel,Clermont-Ferrand,,,,45.7694201,3.0834
2294772351,node,Espace Volcan,hotel,Clermont-Ferrand,"Route du Col de la Moreno, 63122, Laschamps",63122,http://www.espacevolcan.fr/,45.7399751,2.9641354
2294772361,node,Le G.R.,restaurant,Clermont-Ferrand,"63122, Laschamps",63122,,45.7405267,2.9659161
2329265429,node,Bistrot A Table,restaurant,Clermont-Ferrand,,,,45.7871057,3.1059792
2329265432,node,Courtepaille,restaurant,Clermont-Ferrand,"3 Boulevard Ambroise Brugière, 63100, Clermont-Ferrand",63100,https://restaurants.courtepaille.com/restaurant-courtepaille-clermont-ferrand-montferrand-id370,45.7918486,3.1182848
2329352934,node,La table d'Andrea,restaurant,Clermont-Ferrand,,,,45.7843766,3.1239268
2351927720,node,Le resto d'Épicure,restaurant,Clermont-Ferrand,,,,45.7703426,2.9627062
2403957323,node,Les arcandiers,restaurant,Clermont-Ferrand,,,,45.7784111,3.0871865
2453811592,node,Il Visconti,restaurant,Clermont-Ferrand,"9 Rue du Terrail, 63000",63000,https://www.ilvisconti.com/,45.7785011,3.0871633
2487635216,node,Le Marmotel,hotel,Clermont-Ferrand,"18 Boulevard Winston Churchill, 63000, Clermond-Ferrand",63000,,45.7611809,3.0950256
2523286799,node,Hôtel Océania,hotel,Clermont-Ferrand,"82 Boulevard François Mitterrand, 63000",63000,https://www.oceaniahotels.com/oceania-clermont-ferrand,45.7717857,3.083681
2523324970,node,Bambochella,restaurant,Clermont-Ferrand,"9 Boulevard Léon Malfreyt, 63000, Clermont-Ferrand",63000,https://www.labambochella.fr/,45.7736172,3.0856506
2523341807,node,Hôtel Régina,hotel,Clermont-Ferrand,,,,45.7754641,3.0791775
2523342189,node,Zorzi,restaurant,Clermont-Ferrand,,,,45.7738382,3.0798271
2523354169,node,Honoré,restaurant,Clermont-Ferrand,,,,45.7785662,3.0865005
2523367180,node,Pizza Tino,restaurant,Clermont-Ferrand,,,,45.7759304,3.0817059
2523953426,node,Envie,restaurant,Clermont-Ferrand,,,,45.7778666,3.0828402
2523958040,node,Hôtel Le Saint-Joseph,hotel,Clermont-Ferrand,,,,45.7788851,3.0944466
2524422774,node,Larderia,restaurant,Clermont-Ferrand,Rue des Chaussetiers,,,45.7783109,3.0840308
2524422785,node,Babka Family,restaurant,Clermont-Ferrand,"15 Rue des Petits Gras, 63000, Clermont-Ferrand",63000,https://www.babka-family.com/,45.7777854,3.0837892
2524422788,node,Le Petit Tandoori,restaurant,Clermont-Ferrand,,,,45.7778204,3.0835976
2524422798,node,L'ostrog III,restaurant,Clermont-Ferrand,,,,45.7783385,3.0835613
