osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
243495090,node,B & B hotel,hotel,Colmar,,,,48.1126379,7.3676609
247105450,node,Aux Amis de la Lauch,restaurant,Colmar,,,,48.0559665,7.3514552
255456996,node,Château du Hohlandsbourg,attraction,Colmar,"Route des Cinq Châteaux, 68920",68920,,48.0599159,7.2691921
260301789,node,,viewpoint,Colmar,,,,48.0422537,7.3074235
260422019,node,Brasserie des Arcades,restaurant,Colmar,"Grand'Rue, 68000, Colmar",68000,https://arcades.pagesperso-orange.fr/,48.0770025,7.3601363
262506725,node,Altenkraehkopf,viewpoint,Colmar,,,,48.1066897,7.0837256
266643987,node,Le Flamm's,restaurant,Colmar,,,,48.0781074,7.3581941
268944838,node,Statue du Général Jean Rapp,artwork,Colmar,,,,48.0770127,7.354183
268944859,node,Statue d'Armand Joseph Bruat,artwork,Colmar,,,,48.0755785,7.3527612
269137668,node,Théophile Conrad Pfeffel,attraction,Colmar,,,,48.0755368,7.3577627
276637633,node,Monument aux Morts,memorial,Colmar,,,,48.0402542,7.5454368
286059532,node,,viewpoint,Colmar,,,,48.0833252,7.0521178
286062887,node,,viewpoint,Colmar,,,,48.1013673,7.0678278
293726584,node,Hôtel l'Europe,hotel,Colmar,,,https://www.hotel-europe-colmar.com/,48.0772762,7.4038329
300141209,node,Auberge du Geisbach,restaurant,Colmar,Luttenbach,,http://www.geisbach.fr,48.0204604,7.1187932
300145832,node,Aux Deux Clefs,hotel,Colmar,12 Rue de l'Altenhof,,http://auxdeuxclefs.hotels-kempf.com,48.0146001,7.0651862
301207452,node,Ferme-Auberge Les Trois Fours,restaurant,Colmar,,,https://www.auberge-des-trois-fours.com/,48.053337,7.0245321
302362367,node,Ferme Auberge Kahlenwasen,restaurant,Colmar,Luttenbach près Munster,,https://www.tourisme-alsace.com/fr/231001097-Ferme-auberge-du-Kahlenwasen.html,47.9889696,7.124078
325004638,node,Ferme Auberge Deybach (Schnepfenried),restaurant,Colmar,"Le Schnepfenried, 68380, Mittlach",68380,https://www.ferme-auberge-deybach.fr/,47.9908022,7.0405139
348549234,node,,memorial,Colmar,,,,48.0250196,7.5749408
351581104,node,,memorial,Colmar,,,,48.0178464,7.5300495
411065335,node,Ferme Auberge du Schiessroth,restaurant,Colmar,Metzeral,,https://www.jds.fr/metzeral/ferme-auberge-alsace/ferme-auberge-du-schiessroth-le-gaschney-metzeral-haut-rhin-2132_L,48.0294309,7.0325765
411065417,node,Le Schallern,restaurant,Colmar,"Gaschney, 68380, Muhlbach-sur-Munster",68380,https://www.leschallern.com,48.0374534,7.0400761
411065418,node,Ferme Auberge Hinterberg,restaurant,Colmar,,,https://www.vallee-munster.eu/fr/gourmande/fermes-auberges-vallee-munster/F231000931_ranch-auberge-hinterberg-metzeral.html,48.018259,7.0508952
415760121,node,Rainkopf,viewpoint,Colmar,,,,48.009745,6.9827593
415774804,node,,viewpoint,Colmar,,,,48.0763633,7.0363319
415774844,node,,viewpoint,Colmar,,,,48.1023809,7.06846
443995232,node,Taubenklangfelsen,viewpoint,Colmar,,,,48.107439,7.0716457
447806516,node,Belvédère de la petite Fecht,viewpoint,Colmar,,,,48.0592738,7.0238887
467382601,node,Rocher Turenne,attraction,Colmar,,,,48.0502785,7.2618495
467405854,node,Ferme-Auberge Strohberg,restaurant,Colmar,"68230, Wasserbourg",68230,https://www.ferme-auberge-strohberg.com/,47.9828305,7.1325653
467407680,node,Auberge du Boenlesgrab,restaurant,Colmar,,,,47.976901,7.1477459
