osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
250971125,node,Table d'orientation du parc de la Combe Saint-Joseph,viewpoint,Dijon,"17 Rue Gustave Noblemaire, 21000, Dijon",21000,,47.3072418,4.9924536
251517192,node,Crebillon,artwork,Dijon,,,,47.314963,5.0297102
255728482,node,Marco Polo,restaurant,Dijon,,,https://www.marcopolodijon.com/,47.3201157,5.0359844
255731744,node,Mano De Pina,restaurant,Dijon,,,,47.3201768,5.0360003
255935624,node,Muséum d'Histoire Naturelle,museum,Dijon,,,https://ma-nature.dijon.fr/,47.3218523,5.0289424
256276605,node,L'Édito,restaurant,Dijon,,,https://www.restaurant-ledito-dijon.fr/,47.3233936,5.0350105
256396180,node,En Face la Cité,restaurant,Dijon,Dijon,,,47.3183319,5.0306434
257396133,node,Monument des Martyrs de la déportation,memorial,Dijon,,,,47.3129562,5.0500805
257750210,node,Ours blanc,artwork,Dijon,,,,47.3238834,5.0331909
261645175,node,Statue de François Rude,memorial,Dijon,,,,47.3252937,5.0322273
262373880,node,La Braserade,restaurant,Dijon,,,,47.3286912,5.0416721
262373894,node,Statue de Saint-Bernard,memorial,Dijon,,,,47.3256341,5.038814
262544247,node,"Char Sherman ""Duguay-Trouin""",memorial,Dijon,,,,47.3291013,5.0431555
262552103,node,La Bon'Heure,restaurant,Dijon,"Avenue Aristide Briand, 21000, Dijon",21000,,47.330747,5.0487599
266015694,node,Refuge des Pirates,restaurant,Dijon,,,http://refugedespirates.fr/,47.3515791,5.0580714
359129906,node,,memorial,Dijon,,,,47.2926903,5.0006094
443667944,node,,memorial,Dijon,,,,47.4401573,5.092822
477615741,node,Kyriad Dijon Sud Longvic,hotel,Dijon,,,https://dijon-sud-longvic.kyriad.com,47.2717815,5.0452097
477615919,node,greet Hotel Dijon Sud Longvic,hotel,Dijon,,,https://all.accor.com/hotel/C0T5/index.fr.shtml,47.2715764,5.0440596
670013280,node,,memorial,Dijon,,,,47.2308173,5.447266
697186392,node,,memorial,Dijon,,,,47.2662967,5.0069971
703548676,node,Holiday Inn,hotel,Dijon,,,,47.3554713,5.0514677
860536088,node,Monument de la Victoire,memorial,Dijon,,,,47.308543,5.0462188
890307278,node,Soleil de Tunis,restaurant,Dijon,"21 Rue de la Manutention, 21000, Dijon",21000,,47.3164899,5.0343803
890307287,node,Les Remparts,restaurant,Dijon,,,,47.3167042,5.0342326
890307292,node,Le Pharaon,restaurant,Dijon,,,,47.3175444,5.0340926
890307330,node,Le piano qui fume,restaurant,Dijon,,,https://www.lepianoquifume.com/,47.3190328,5.0373275
890307348,node,Chambouletous,restaurant,Dijon,,,,47.3191481,5.0374992
890727690,node,Dallo Zio,restaurant,Dijon,,,,47.316085,5.0379425
890968559,node,,memorial,Dijon,,,,47.3066163,4.7045154
891812235,node,Le Shanti,restaurant,Dijon,,,http://leshanti.unblog.fr/,47.3176605,5.0348679
891812240,node,L'Âge de Raisin,restaurant,Dijon,"67 Rue Berbisey, 21000, Dijon",21000,https://age-de-raisin.fr/,47.3176791,5.0349417
891812242,node,Sushi King,restaurant,Dijon,,,,47.3187817,5.0350738
891812262,node,L'Epicerie & Cie,restaurant,Dijon,,,https://www.restaurant-lepicerie.fr/,47.3189632,5.0356921
893208553,node,Le Cercle,restaurant,Dijon,,,https://www.lecerclerestaurant.com/,47.3184235,5.0332223
893208592,node,Mustard Hostel,hotel,Dijon,Dijon,,https://mustardhostel.com/,47.3191667,5.0337378
893208595,node,L'Émile Brochettes,restaurant,Dijon,,,https://www.lemilebrochettes-dijon.fr/,47.3187154,5.0352085
893208607,node,Le Resto,restaurant,Dijon,,,,47.3188404,5.0350217
893208617,node,Le Zola,restaurant,Dijon,,,https://le-zola-dijon.eatbu.com/,47.3188929,5.0349705
893208621,node,La Pizz Zola,restaurant,Dijon,"6 Place Émile Zola, 21000",21000,https://la-pizz-zola-restaurant-dijon.eatbu.com/,47.3189321,5.034931
893208625,node,Le Maharaja,restaurant,Dijon,,,,47.3192515,5.0348764
895350839,node,La Fine Heure,restaurant,Dijon,,,,47.3190652,5.0373717
902330148,node,Maison Philippe Le Bon,hotel,Dijon,,,,47.3183998,5.0379965
902330149,node,La Closerie,restaurant,Dijon,,,,47.3184475,5.0380434
905520191,node,Le Gril' Laure,restaurant,Dijon,,,,47.3211751,5.0338636
905520220,node,Hostellerie du Chapeau Rouge,hotel,Dijon,"5 Rue Michelet, 21000, Dijon",21000,https://www.chapeau-rouge.fr/fr/chambres-et-suites-hotel-charme-dijon,47.321321,5.0357327
907529628,node,,memorial,Dijon,,,,47.3050433,4.6421268
1067704891,node,,memorial,Dijon,,,,47.5642319,5.4379865
1067776735,node,,memorial,Dijon,,,,47.5640677,5.4240303
1069197817,node,Monument aux morts,memorial,Dijon,,,,47.5266133,5.3697335
1344525760,node,,memorial,Dijon,,,,47.642539,5.0783557
