osm_id,osm_type,name,category,city,address,post code,website,lat,lon
1450119955,node,Le Bautezar,restaurant,Les Baux-de-Provence,"Grand Rue, Les Baux-de-Provence",,,43.7441194,4.7951951
1776980191,node,Le Prince noir,hotel,Les Baux-de-Provence,,,,43.743388,4.7952774
2929379148,node,La Terrasse des Baux,restaurant,Les Baux-de-Provence,,,,43.743927,4.7949822
3380969015,node,Le Baux Gourmand,restaurant,Les Baux-de-Provence,"Grand Rue, Les Baux-de-Provence",,,43.7444188,4.7953718
4462926856,node,L'Oustaù de Baumanière,hotel,Les Baux-de-Provence,,,https://www.baumaniere.com/hebergement,43.7401362,4.7885263
4462926857,node,L'Oustaù de Baumanière,restaurant,Les Baux-de-Provence,Les Baux-de-Provence,,https://www.baumaniere.com/gastronomie/loustau-de-baumaniere,43.7470213,4.7955483
4462926858,node,La Cabro d'Or,restaurant,Les Baux-de-Provence,,,https://www.baumaniere.com/gastronomie/la-cabro-dor,43.740138,4.7873357
4706506992,node,La Reine Jeanne,hotel,Les Baux-de-Provence,,,,43.7449176,4.7953632
4706506994,node,La bella vista,restaurant,Les Baux-de-Provence,,,,43.7440063,4.794764
4706641761,node,Au Porte Mages,restaurant,Les Baux-de-Provence,"Rue Porte Mage, Les Baux-de-Provence",,,43.7449226,4.7956016
5703880523,node,Une Table au Soleil,restaurant,Les Baux-de-Provence,,,,43.7434161,4.7946185
6715337986,node,Domaine de Manville,hotel,Les Baux-de-Provence,,,https://www.domainedemanville.fr/fr/,43.7325398,4.8014909
7885097090,node,Le Bouchon Rouge,restaurant,Les Baux-de-Provence,"Rue du Trencat, Les Baux-de-Provence",,https://www.lebouchonrouge.fr,43.7433947,4.7948815
8319639782,node,La Guigou,hotel,Les Baux-de-Provence,,,https://www.baumaniere.com/hebergement,43.743976,4.7910646
9015414981,node,,restaurant,Les Baux-de-Provence,,,https://www.masdaigret.com/hotel-restaurant-baux-de-provence,43.7451777,4.7995562
9029685886,node,Les Baux Jus,restaurant,Les Baux-de-Provence,,,,43.7441752,4.7949665
10989217178,node,La Guinguette des Baux,restaurant,Les Baux-de-Provence,,,,43.7493522,4.7954229
12862414121,node,Le Petit Rocher,restaurant,Les Baux-de-Provence,,,,43.7433241,4.7947549
12862451327,node,Le Café du Musée,restaurant,Les Baux-de-Provence,,,,43.744059,4.7951897
13713479301,node,Camille Ô Baux,restaurant,Les Baux-de-Provence,,,,43.7441165,4.7950053
