osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
25554594,node,,artwork,Paris,8,,,48.8603349,2.3473434
96141530,node,,viewpoint,Paris,,,,48.871505,2.3852879
130102845,node,Musée de l'Armée,museum,Paris,"129 Rue de Grenelle, 75007, Paris",75007,http://www.musee-armee.fr/,48.8570374,2.3118779
158603712,node,Moulin Créole,restaurant,Paris,,,https://www.moulin-creole-paris.fr,48.8298338,2.3228991
175539450,node,Le Severo,restaurant,Paris,"8 Rue des Plantes, 75014",75014,,48.8319911,2.3245334
191031796,node,Point zéro des Routes de France,attraction,Paris,,,,48.8534015,2.3487885
224711659,node,Ibis,hotel,Paris,,,,48.8403064,2.3155776
247435032,node,Hôtel Saint-Honoré,hotel,Paris,,,,48.8611819,2.3436118
247435275,node,Hôtel Montpensier,hotel,Paris,,,https://www.hotelmontpensierparis.com/,48.8643588,2.3362645
247436637,node,Hôtel Louvre Bon Enfants,hotel,Paris,,,,48.8629098,2.3381793
247437972,node,Hôtel Costes,hotel,Paris,"7 Rue de Castiglione, 75001, Paris",75001,https://hotelcostes.com,48.8662827,2.3280089
247439841,node,Uno,restaurant,Paris,"37 Rue Berger, 75001, Paris",75001,https://unoparis.com/,48.8618492,2.3434997
247455916,node,La Crypte Polska,restaurant,Paris,,,,48.8672925,2.3255509
247455920,node,Mystery Cuisine,restaurant,Paris,,,https://mysterycuisine.fr,48.865893,2.3372573
247455923,node,Chez Denise,restaurant,Paris,,,,48.8615239,2.3440891
247455924,node,La Robe et le Palais,restaurant,Paris,,,https://www.robe-et-palais.com/,48.8586437,2.3458501
247467738,node,Macéo,restaurant,Paris,15 Rue des Petits Champs,,https://www.maceorestaurant.com,48.8664042,2.3380601
247584452,node,Musée des Arts Décoratifs,museum,Paris,"107 Rue de Rivoli, 75001",75001,https://madparis.fr/musee-des-arts-decoratifs,48.8631692,2.3329513
247618453,node,Musée des Arts et Métiers,museum,Paris,"60 Rue Réaumur, 75003",75003,https://www.arts-et-metiers.net,48.8660977,2.3554138
247696089,node,Le Petit Marché,restaurant,Paris,"9 Rue de Béarn, Paris",,,48.8572887,2.3660498
247696090,node,Café des Musées,restaurant,Paris,,,,48.8580708,2.3643313
247696092,node,Camille,restaurant,Paris,24 Rue des Francs Bourgeois,,,48.8577772,2.3607273
247696094,node,Les Enfants Rouges,restaurant,Paris,,,,48.8630297,2.3612527
247696096,node,404,restaurant,Paris,"69 Rue des Gravilliers, 75003",75003,https://www.404-resto.com,48.864464,2.3543053
248493877,node,Onhà Dô,restaurant,Paris,,,,48.8483768,2.3739692
250657148,node,Lémoni Café,restaurant,Paris,,,https://www.lemonicafe.fr,48.8647973,2.3411779
250861677,node,Rani Mahal,restaurant,Paris,,,,48.8687993,2.3373273
250861679,node,O' Scià,restaurant,Paris,,,https://www.pizzeriaoscia.fr/,48.864878,2.3475212
250861680,node,Café Moderne,restaurant,Paris,,,,48.8689038,2.3422059
251001754,node,Résidence les Boulevards,hotel,Paris,10 Rue de la Villeneuve,,,48.8696872,2.3486973
251001755,node,Hôtel Marie,hotel,Paris,6 Rue de la Villeneuve,,,48.8695728,2.348676
251043133,node,Manteigaria - Fábrica de Pastéis de Nata Rambuteau,restaurant,Paris,"24 Rue Rambuteau, 75003",75003,https://manteigaria.com/fr/,48.860997,2.3544354
251043137,node,La Perla,restaurant,Paris,,,,48.8557588,2.3561398
251043139,node,L'Excuse,restaurant,Paris,,,,48.8533876,2.3620076
251043140,node,Pizzou,restaurant,Paris,,,,48.8576083,2.3562589
251047644,node,Chez Marianne,restaurant,Paris,"2 Rue des Hospitalières-Saint-Gervais, 75004, Paris",75004,https://www.chezmarianne.fr,48.8577309,2.3586364
251047682,node,Chouette,restaurant,Paris,,,,48.85559,2.3628253
251125928,node,Le Lutétia Île Saint-Louis,restaurant,Paris,"33 Quai de Bourbon, 75004",75004,,48.8532987,2.3540953
251126260,node,Au Petit Fer à Cheval,restaurant,Paris,"30 Rue Vieille du Temple, 75004, Paris",75004,,48.8574347,2.3576107
251127867,node,Hôtel du Loiret,hotel,Paris,,,https://www.hotelduloiret.fr,48.8569202,2.3552931
251127869,node,Charles V,hotel,Paris,,,,48.8534874,2.3618354
251130907,node,Hôtel de la Place des Vosges,hotel,Paris,,,,48.8544261,2.3652418
251318666,node,Musée national Gustave Moreau,museum,Paris,14 Rue Catherine de La Rochefoucauld,,https://musee-moreau.fr,48.8778955,2.3345468
