osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
32524966,node,Pizzeria Janata,restaurant,Rennes,"5 Place des Lices, 35000, Rennes",35000,,48.1132875,-1.682248
71593996,node,Fontaine de Barenton,attraction,Rennes,,,,48.0388989,-2.246872
82694346,node,,viewpoint,Rennes,,,,47.9951246,-1.7504341
247070696,node,Tours Aunis et Navarre,attraction,Rennes,,,,48.0868321,-1.6535626
251617871,node,Gueuleton,restaurant,Rennes,"96 Rue de la Poterie, 35200, Rennes",35200,https://www.gueuleton.fr/gueuleton-rennes/,48.0936223,-1.6431742
255419115,node,Écho,artwork,Rennes,,,,48.1016752,-1.642181
257572543,node,Terra d'Oïli,restaurant,Rennes,1 Route de la Planchette,,,48.0999452,-1.6042006
269018590,node,Ibis,hotel,Rennes,,,,48.1146422,-1.6215775
269152168,node,Le Jardin de la Vilaine,restaurant,Rennes,,,https://www.lejardindelavilaine.fr/,48.1159619,-1.6059895
277865831,node,Famicci,restaurant,Rennes,1 Place des Halles,,https://www.lietno.fr/,48.1319421,-1.5356636
279328829,node,Pok Pok Time,restaurant,Rennes,"8 Rue du Grand Four, 35690, Acigné",35690,https://pok-pok-time.fr/,48.131914,-1.5362582
282210254,node,,viewpoint,Rennes,,,,48.0935701,-2.056401
283367791,node,,monument,Rennes,,,,48.1256858,-1.6814458
287778752,node,Le Belvédère,restaurant,Rennes,,,,48.0656445,-1.7665485
287868328,node,La Tablée de Moigné,restaurant,Rennes,,,,48.0807079,-1.7745974
288300370,node,L’escapade du Couesnon,restaurant,Rennes,"La Ville Olivier, 35140, Mézières-sur-Couesnon",35140,,48.3074078,-1.4334028
289404584,node,La Gourmandière,restaurant,Rennes,,,,48.0997639,-1.794564
297344809,node,Abbaye Notre-Dame du Nid-au-Merle,ruins,Rennes,,,,48.2193408,-1.5742722
301638726,node,Café des Bains,restaurant,Rennes,"38 Rue Saint-Georges, 35000, Rennes",35000,,48.111869,-1.6755451
308137335,node,,restaurant,Rennes,,,,48.2676209,-2.0674324
