osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
534727001,node,,viewpoint,Saint-Malo,,,,48.6344717,-2.0489715
644660687,node,,viewpoint,Saint-Malo,,,,48.6375918,-2.1331819
644660688,node,Pointe du Décollé,viewpoint,Saint-Malo,,,,48.6449326,-2.1125937
662464363,node,,memorial,Saint-Malo,,,,48.6513998,-2.0235837
670137175,node,Notre-Dame la Dominatrice de Bizeux,memorial,Saint-Malo,,,,48.6280033,-2.026309
686512484,node,Mémorial 1939-1945,museum,Saint-Malo,"35400, Saint-Malo",35400,https://www.saint-malo.fr/accueil/sortir/musees/memorial-39-45/,48.6372803,-2.0292297
693738756,node,Ruines du Château de la Roche-Montbourcher,attraction,Saint-Malo,,,,48.4210868,-1.6527629
695232458,node,Menhir La Pierre-Longue,attraction,Saint-Malo,,,,48.4200215,-1.6706675
733173393,node,Menhir de Champ-Dolent,attraction,Saint-Malo,,,,48.5353226,-1.7393339
775945300,node,Maison de la Baie du Mont Saint-Michel,attraction,Saint-Malo,"35960, Le Vivier-sur-Mer",35960,https://www.maison-baie.com/,48.603517,-1.7670318
947116791,node,Le Décollé,restaurant,Saint-Malo,,,,48.6439353,-2.1127272
947195964,node,L'Amirauté,restaurant,Saint-Malo,1 Boulevard du Décollé,,http://www.facebook.com/pages/LAmirauté,48.6437835,-2.1128462
974273303,node,Statue de Chateaubriand,memorial,Saint-Malo,,,,48.4069486,-1.7539723
977515627,node,L'Équateur,restaurant,Saint-Malo,3 Promenade des Alliés,,,48.6354715,-2.0542307
977552525,node,Taratata,restaurant,Saint-Malo,,,,48.6351007,-2.05284
977574424,node,Petit Bleu,restaurant,Saint-Malo,31 Rue de la Vallée,,https://www.lebalafon-restaurant-dinard.fr/,48.6312289,-2.0572822
987969699,node,Le relais de Tournebride,restaurant,Saint-Malo,,,,48.4150825,-1.8396239
989671111,node,Le Parvis,restaurant,Saint-Malo,,,,48.4116409,-1.8120151
989671117,node,Monument aux morts,memorial,Saint-Malo,,,,48.4119816,-1.8130935
997115064,node,Brasserie La Pointe du Grouin,restaurant,Saint-Malo,,,,48.7083153,-1.8455037
1078806875,node,Ibis Styles,hotel,Saint-Malo,,,http://www.hotel-saint-malo-ibis-styles.com/,48.6486267,-2.0239888
1098938896,node,Fidelis,restaurant,Saint-Malo,,,,48.6500168,-2.0234323
1099143647,node,,artwork,Saint-Malo,,,,48.6505966,-2.0248378
1148167845,node,La Motte Beaumanoir,castle,Saint-Malo,,,,48.414505,-1.9129509
1150870341,node,La Maison des Feins,ruins,Saint-Malo,,,,48.4847904,-1.8767756
1229176821,node,La Drolonnerie,restaurant,Saint-Malo,,,,48.4699443,-1.8006248
1257727824,node,Monastère de Beaufort,castle,Saint-Malo,,,,48.5032923,-1.820329
1363631120,node,Statue de Mahé de La Bourdonnais,artwork,Saint-Malo,,,,48.6462122,-2.0236223
1365800412,node,Breizh café,restaurant,Saint-Malo,,,,48.6351017,-2.0536219
1365800426,node,Le Wilson,restaurant,Saint-Malo,21 Boulevard du Président Wilson,,,48.635106,-2.053456
1365800435,node,L'Aventure,restaurant,Saint-Malo,4 Rue Yves Verney,,,48.6347742,-2.0556833
1365800437,node,Crêperie Coté Mer,restaurant,Saint-Malo,29 Boulevard du Président Wilson,,,48.6351171,-2.053873
1365800450,node,Café Canaille,restaurant,Saint-Malo,6 Rue Yves Verney,,,48.6347223,-2.0557883
1365860304,node,Chez le Sarrazin,restaurant,Saint-Malo,,,,48.6333144,-2.0578474
1365877720,node,Le Marché des Anges,restaurant,Saint-Malo,,,,48.632175,-2.0584498
1366952890,node,La Malouinière,restaurant,Saint-Malo,,,,48.6501641,-2.0231843
1366952891,node,Le Saint-Vicent,restaurant,Saint-Malo,,,,48.6500277,-2.0232639
1366952892,node,Armelle,restaurant,Saint-Malo,,,,48.6502482,-2.0231265
1366952897,node,Café de Saint-Malo,restaurant,Saint-Malo,,,,48.6503675,-2.0234241
1366952898,node,Perla di Napoli,restaurant,Saint-Malo,,,,48.6498554,-2.0233722
1366952899,node,La Pignatta,restaurant,Saint-Malo,,,,48.649756,-2.0234302
1368056056,node,Hôtel de l'Univers,hotel,Saint-Malo,,,https://www.hotel-univers-saintmalo.com/bar-de-l-univers.php,48.6510826,-2.0239307
1368056088,node,Le Bistrot de Jean,restaurant,Saint-Malo,,,,48.6503342,-2.0248247
1368056092,node,Timothy,restaurant,Saint-Malo,,,https://timothy.business.site/,48.6486172,-2.0254808
1368056095,node,Le Petit Malouin,restaurant,Saint-Malo,,,https://www.lepetitmalouin.com/,48.6486118,-2.0256385
1368056110,node,Le Borsalino,restaurant,Saint-Malo,"6 Rue de la Vieille Boucherie, 35400",35400,,48.6485343,-2.025653
1369171381,node,L'Ancrage,restaurant,Saint-Malo,,,,48.6494015,-2.0236635
