osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
244953708,node,Musée d'Art moderne et contemporain,museum,Saint-Étienne,,,https://mamc.saint-etienne.fr/,45.4694622,4.3742124
384727104,node,L'Arobase,restaurant,Saint-Étienne,,,https://larobase-restaurant-saint-etienne.eatbu.com/,45.4398796,4.3909294
384727107,node,Eco Pizza,restaurant,Saint-Étienne,,,,45.4401368,4.3912188
392671677,node,Le Reflet,restaurant,Saint-Étienne,,,,45.4262225,4.4044653
392671687,node,La Batisse,restaurant,Saint-Étienne,,,https://restaurant-labatisse42.fr/,45.4206786,4.4103716
403182651,node,L'Escargot d'Or,restaurant,Saint-Étienne,,,https://lescargotdor.fr/,45.4339909,4.3881135
492758386,node,Madone de Rochetaillée,viewpoint,Saint-Étienne,,,,45.412954,4.4403512
560857302,node,La Taverne Brasserie,restaurant,Saint-Étienne,,,,45.4427295,4.3986088
560857303,node,Ibis Styles,hotel,Saint-Étienne,,,,45.4426454,4.3986495
560878982,node,La Loco,restaurant,Saint-Étienne,,,http://restaurant-la-loco.com/,45.4422584,4.3985514
568096734,node,Ô Suivant,restaurant,Saint-Étienne,,,,45.4398277,4.3976708
619347287,node,,memorial,Saint-Étienne,,,,45.389222,4.592167
656446958,node,Le Bistro d'Antan,restaurant,Saint-Étienne,,,,45.4362354,4.3869916
661339900,node,Sphinx,artwork,Saint-Étienne,,,,45.4312851,4.3878183
661339906,node,Bistrot Gaga,restaurant,Saint-Étienne,,,,45.4327372,4.3877657
664592363,node,La Grotte,restaurant,Saint-Étienne,,,https://lagrotterestaurant.fr/,45.4397001,4.3942406
685756018,node,Les Perles d’Ivoire,restaurant,Saint-Étienne,,,,45.439169,4.3897595
728919525,node,,memorial,Saint-Étienne,,,,45.426432,4.3973044
738899776,node,Absinthe,restaurant,Saint-Étienne,,,https://www.absinthe.restaurant/,45.438834,4.3979855
778673165,node,Le Prieuré,restaurant,Saint-Étienne,"6 Place des Portes, 42800",42800,,45.4793246,4.6470756
784460204,node,Tricéphale,artwork,Saint-Étienne,,,,45.4364323,4.3856873
926536389,node,La Casa,restaurant,Saint-Étienne,,,,45.4279324,4.3902114
926586822,node,Resto Carthage,restaurant,Saint-Étienne,,,,45.4278022,4.3902517
936978823,node,Victoire de Samothrace,memorial,Saint-Étienne,,,,45.4276115,4.383615
944435373,node,Le Valjoly,restaurant,Saint-Étienne,,,https://www.restaurant-levaljoly.fr/,45.4942178,4.4350402
982357941,node,Ruine Château du Toile,castle,Saint-Étienne,,,,45.381395,4.506303
1005320887,node,Le Bistrot de la Famille,restaurant,Saint-Étienne,"10 Place de la Liberté, 42220, Bourg-Argental",42220,https://www.facebook.com/profile.php?id=100067137363486#,45.2960843,4.5588939
1013129399,node,Square du Temps Passé,garden,Saint-Étienne,,,,45.4387614,4.3973751
1362951220,node,Hommage à Picasso Horizon,artwork,Saint-Étienne,,,,45.4208485,4.3955761
1467425522,node,Brasserie Le 37,restaurant,Saint-Étienne,,,,45.3901612,4.2879624
1467425546,node,Firm'Hôtel,hotel,Saint-Étienne,,,,45.3901604,4.2880295
1474396735,node,Mémorial de la Résistance et de la Déportation de la Loire,museum,Saint-Étienne,,,http://memorial-loire42.fr/,45.4356769,4.3863663
1567980008,node,Les Roches de Marlin,viewpoint,Saint-Étienne,,,,45.4964231,4.6456461
1569753548,node,Le Blindcat,restaurant,Saint-Étienne,"52 Boulevard Waldeck Rousseau, 42400, Saint-Chamond",42400,,45.4776275,4.5076692
