osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
289541574,node,Pont Transbordeur,monument,Toulon,,,,43.1025993,5.8831363
289541575,node,Porte des Chantiers,monument,Toulon,,,,43.1013341,5.8868996
290385180,node,Lavoir des Moulières,ruins,Toulon,,,,43.0804413,5.8596144
290517707,node,Sémaphore,ruins,Toulon,,,,43.0520644,5.8559195
290560620,node,Pizza La Tour de Pizz,restaurant,Toulon,,,,43.1002025,5.8841274
290560624,node,Le Comoedia,restaurant,Toulon,,,,43.1008232,5.8846413
291447830,node,,restaurant,Toulon,,,,43.0990913,5.8846073
291924342,node,La Lagune,restaurant,Toulon,,,,43.0693872,5.7933615
292581346,node,Auberge du Loup,hotel,Toulon,,,,43.0832392,5.8815805
293639570,node,La Griotte,restaurant,Toulon,,,,43.1005557,5.8838442
294143878,node,,ruins,Toulon,,,,43.101447,5.8393289
294659093,node,,viewpoint,Toulon,,,,43.0683155,5.793362
295450054,node,,restaurant,Toulon,,,,43.1009893,5.8835654
297193119,node,Génie de la Navigation,artwork,Toulon,,,,43.1200567,5.9317067
297193944,node,,viewpoint,Toulon,,,,43.101412,5.8392788
297193945,node,,viewpoint,Toulon,,,,43.1026483,5.8405592
297193946,node,,viewpoint,Toulon,,,,43.1032616,5.8410735
297507759,node,,viewpoint,Toulon,,,,43.1041084,5.9259498
297614962,node,La Chapelle,restaurant,Toulon,,,,43.0775763,5.8856922
297614999,node,Maison Daniel et Julia,restaurant,Toulon,,,,43.0688902,5.8710681
297615000,node,Le Duplex,restaurant,Toulon,,,http://www.leduplex-fabregas.com/,43.0698279,5.8712172
297615001,node,Il Gusto,restaurant,Toulon,,,,43.0699623,5.8711591
297615007,node,,viewpoint,Toulon,,,,43.0630166,5.8653294
297615135,node,,viewpoint,Toulon,,,,43.0531491,5.847312
297615324,node,La Forêt des 4 Mondes,theme_park,Toulon,,,https://laforetdes4mondes.com/,43.0712035,5.8550999
297615353,node,L'Hacienda,restaurant,Toulon,,,,43.0721665,5.8585605
299290742,node,Le Taj,restaurant,Toulon,"60 Avenue du Président John F. Kennedy, 83140",83140,https://www.le-taj.com/,43.1079021,5.8147177
301163171,node,Le Maharadjah,restaurant,Toulon,,,,43.109201,5.8485653
309055457,node,Pointe des Chevaliers,viewpoint,Toulon,,,,43.0356467,6.0925603
389147865,node,Hôtel de la Tour,hotel,Toulon,"24 Quai Charles de Gaulle, 83110, Sanary-sur-Mer",83110,https://www.sanary-hoteldelatour.com/,43.1176927,5.8005259
433426737,node,Point Sublime,viewpoint,Toulon,,,,43.1455934,5.9349731
434115325,node,Sanctuaire Notre-Dame du Faron,monument,Toulon,,,,43.1518028,5.9330462
446004351,node,Lieutenant de vaisseau Revel,memorial,Toulon,,,,43.1649561,5.8799584
456766986,node,Monument national des sous-mariniers,monument,Toulon,,,,43.1039763,5.9259016
457845891,node,,viewpoint,Toulon,,,,43.0635972,5.8463671
459479173,node,,viewpoint,Toulon,,,,43.0681575,5.9152147
460513834,node,,viewpoint,Toulon,,,,43.159928,5.9856979
