osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
29047143,node,Bistr'O bo bun,restaurant,Toulouse,"269 La Méridienne, 31670, Labège",31670,https://tobobun.com/,43.5408025,1.5120412
29681754,node,L'instant,restaurant,Toulouse,"13/14 Chemin du Logis Vieux, 31850",31850,https://restaurant-linstant.fr/,43.6436341,1.5220926
247081412,node,Bellini,restaurant,Toulouse,,,,43.6038807,1.4428364
247081415,node,Grand Hôtel de l'Opéra,hotel,Toulouse,,,https://www.grand-hotel-opera.com/,43.6035313,1.4440139
247685861,node,Le Chai Saint-Sauveur,restaurant,Toulouse,,,,43.5975439,1.457889
250665866,node,Les Folles Saisons,restaurant,Toulouse,,,,43.5785044,1.3909346
252267391,node,Ovyo Hôtel,hotel,Toulouse,,,https://ovyo-hotel.com/,43.5993832,1.4411296
259043288,node,Ibis Styles,hotel,Toulouse,,,,43.5499239,1.4998214
259131130,node,L'Écluse de Castanet,restaurant,Toulouse,,,,43.5235102,1.5190065
259419396,node,Aux Délices d'Asie,restaurant,Toulouse,,,,43.5274059,1.4901654
305214484,node,ibis Styles Toulouse Blagnac Aeroport,hotel,Toulouse,"45 Rue de Bordebasse, 31700, Blagnac",31700,,43.6379405,1.3751523
305214488,node,Première Classe,hotel,Toulouse,2 Rue René Rey,,,43.6376013,1.3749569
343622251,node,Tommy's Diner Café,restaurant,Toulouse,,,https://www.tommys-cafe.com/news-labege/,43.5401233,1.5123055
343622288,node,Les 3 Brasseurs,restaurant,Toulouse,"Rue Pierre-Gilles de Gennes, 31670, Labège",31670,https://www.3brasseurs.com,43.5409053,1.5128399
354676791,node,Le Canard sur le Toit,restaurant,Toulouse,"58 Chemin de la Salvetat, 31770, Colomiers",31770,https://www.canardsurletoit.com/,43.6025493,1.3014896
354676792,node,Le Canard sur le Toit,hotel,Toulouse,,,,43.6032293,1.3023446
354919354,node,Playoff,restaurant,Toulouse,"Chemin du Prat, 31170, Tournefeuille",31170,https://restaurant-playoff.fr/,43.5752876,1.3637782
356708598,node,Appart'City (Résidence hôtelière),hotel,Toulouse,,,,43.542595,1.5124512
356783375,node,Les Asiatides,restaurant,Toulouse,,,http://www.lesasiatides.com/,43.5486662,1.5123713
356783379,node,Yankee Grill,restaurant,Toulouse,,,http://www.yankeegrill.com/,43.5488819,1.5120389
356783385,node,La Faim des Haricots,restaurant,Toulouse,"31670, Labège",31670,http://www.lafaimdesharicots.fr,43.5495431,1.5112755
364160917,node,Ô Paisible,restaurant,Toulouse,,,https://www.opaisible.fr,43.5291525,1.5298316
404650895,node,l'Aparté,restaurant,Toulouse,,,,43.6446207,1.5106723
415750945,node,Le Moulin de Toulouse,restaurant,Toulouse,,,,43.6095413,1.388516
419114368,node,Aer'Hotel,hotel,Toulouse,,,,43.5348513,1.4836653
423867110,node,Pizza Zio,restaurant,Toulouse,,,,43.5962173,1.4213501
